FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1000704,Cicero Farmers Market,,,,,,Port Cicero Shopping Plaza,Cicero,Hamilton,Indiana,46034,,,,,,,,,-86.013496,40.130299,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1006360,Cincinnatus Farmers Market,,,,,,"Rural Services Pavilion, 2704 Lower Cincinnatus Rd",Cincinnatus,Cortland,New York,,,,,,,,,,-75.896301,42.537899,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1006613,Circle Farmers Market,,,,,,707 B Ave.,Circle,McCone,Montana,59215,,,,,,,,,-105.589,47.415401,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1001334,Circle Square Commons Farmers' Market,http://www.circlesquarecommonsfarmersmarket.com,,,,,8405 SW 80th Street,Ocala,Marion,Florida,34481,,,,,,,,,-82.258698,29.1056,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1019141,City Center Farmers Market,,citycenterfarmersmarket,,,,369 West Cheves Street,Florence,Florence,South Carolina,29501,01/01/2018 to 12/31/2018,Sat: 9:00 AM-1:00 PM;,,,,,,,-79.771393,34.195454,,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,6/25/2018 9:54
1002809,City Centre Market,,,,,,"20 N Water St., Ste 370",Decatur,,Illinois,62523,,,,,,,,,-88.954399,39.844299,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1009474,City Farmers' Market Fair Haven ,http://www.cityseed.org/,,,,,"Quinnipiac River Park, corner of Grand Ave and Front St",New Haven,,Connecticut,6513,,,,,,,,,-72.888802,41.309299,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2013
1004177,City Hall Farmer's Market,,,,,,700 Main Street,Tell City,Perry,Indiana,47586,January to December,Wed:12:00 pm - 0:00 pm;,,,,,,,-86.768997,37.951698,Local government building grounds,N,N,N,N,N,-,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/4/2011 15:56
1001485,City Hall Farmers Market,http://www.houstontx.gov/specialevents/,,,,,901 Bagby St.,Houston,Harris,Texas,77002,,,,,,,,,-95.369301,29.760201,Local government building grounds,N,N,N,N,N,-,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/23/2011 16:40
1007218,City Hall Farmers Market,,,,,,730 Washington Ave,Racine,Racine,Wisconsin,,,,,,,,,,-87.789803,42.7257,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1000067,City Hall Park Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,Broadway & Chambers,New York,New York,New York,10007,03/12/2013 to 12/24/2013,Tue: 8:00 AM-4:00 PM;Fri: 8:00 AM-4:00 PM;,,,,,,,-74.00631,40.71386,Other,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,7/24/2013 10:26
1005250,City Hall Parking Lot Deck (People's Open Market),http://www.honolulu.gov/parks/programs/pom,,,,,Alapai & Beretania Street,Honolulu,Honolulu,Hawaii,96813,01/01/2019 to 12/31/2019,Mon: 11:30 AM-12:30 PM;,,,,,,,-157.85269,21.305408,,Y,N,N,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,3/20/2019 16:35
1004051,City Hall Plaza Farmer's Market,http://www.downtownnashua.org/?page_id=58,,,,,229 Main St.,Nashua,Hillsborough,New Hampshire,3060,June to September,Fri:12:00 pm - 6:00 pm;,,,,,,,-71.464699,42.758202,Local government building grounds,N,N,N,N,N,-,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,4/20/2011 10:47
1010123,City Heights Certified Farmers Market,http://www.sdfarmbureau.org,https://www.facebook.com/CityHeightsFarmersMarket,,,,4325 Wightman Street,San Diego,San Diego,California,92105,01/01/2016 to 12/31/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-117.10152,32.747829,,Y,Y,Y,Y,Y,-,N,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,N,Y,6/27/2016 15:15
1000246,City Market,http://www.webrewstarbucks.com/CityMarket.html,,,,,Railway Station - Corner of 8th and Woodmere Streets,Traverse City,,Michigan,49686,,,,,,,,,-85.607697,44.759201,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1018577,City Market,http://www.citymarketbc.com,www.facebook.com/citymarketbc,,,www.instagram.com/citymarketbc,401 Center Avenue Suite 100,Bay City,Bay,Michigan,48708,06/07/2017 to ,Tue: 10:00 AM-7:00 PM;Wed: 10:00 AM-7:00 PM;Thu: 10:00 AM-7:00 PM;Fri: 10:00 AM-7:00 PM;Sat: 10:00 AM-2:00 PM;,,,,,,,-83.886314,43.59827,,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,7/6/2017 11:51
1019717,City Market,https://www.auburnalabama.org/parks/programs/city-market/,https://www.facebook.com/CityMarketAuburnAL/,,,,1150 South Gay Street,Auburn,Lee,Alabama,36830,10/05/2019 to 10/26/2019,Sat: 8:00 AM-12:00 PM;,05/16/2020 to 08/29/2020,Sat: 8:00 AM-11:00 AM;,,,,,-85.475594,32.584812,,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,11/18/2019 17:35
1011386,City Market - Kansas City - Winter Market,http://www.thecitymarket.org,https://www.facebook.com/TheCityMarketKansasCity/,https://twitter.com/TheCityMarketKC,,,20 East 5th Street,Kansas City,Jackson,Missouri,64106,11/01/2015 to 02/29/2016,Sat: 7:00 AM-3:00 PM;Sun: 8:00 AM-3:00 PM;,,,,,,,-94.581688,39.108685,,Y,N,N,N,Y,-,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,2/8/2017 17:28
1012712,City Market Kansas City- Year-round,http://thecitymarket.org,https://www.facebook.com/TheCityMarketKansasCity/,https://twitter.com/TheCityMarketKC,https://www.youtube.com/user/citymarketkansascity,,20 E 5th Street,Kansas City,Jackson,Missouri,64106,,Sat: 7:00 AM-3:00 PM;Sun: 7:00 AM-3:00 PM;,05/11/2016 to 09/28/2016,Wed: 4:00 PM-7:00 PM;,,,,,-94.582176,39.108681,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,7/20/2016 14:02
1004302,City of Albertville Farmers Market,http://www.cityofalbertville.com,,,,,Main Street- downtown,Albertville,Marshall,Alabama,35950,04/01/2013 to 10/31/2013,,,,,,,,-86.206772,34.267097,Local government building grounds,N,N,N,Y,N,-,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/17/2013 11:16
1000354,City of Au Gres Downtown Farmers Market,,,,,,501 Park Street,Au Gres,Arenac,Michigan,,,,,,,,,,-83.687798,44.049999,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun  4 2010  1:39PM
1008616,City of Barnwell Farmers' Market,http://www.cityofbarnwell.com,https://www.facebook.com/pages/City-of-Barnwell-Parks-Recreation-Department/210794655667183,,,,9987 Dunbarton Blvd.,Barnwell ,Barnwell,South Carolina,29812,05/27/2014 to 10/04/2014,Tue: 8:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;,,,,,,,-81.376114,33.24369,Local government building grounds,N,N,N,N,N,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,4/16/2014 14:04
1003086,City of Cortland Farmers Market,,,,,,Main St. bet Orchard & Court Sts.,Cortland,Cortland,New York,,,,,,,,,,-76.180397,42.5993,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1005809,City of Cuba,,,,,,403 E. Jefferson Street,Cuba,Fulton,Illinois,61427,06/04/2014 to 10/29/2014,Wed: 7:00 AM-12:00 PM;Sun: 12:00 PM-;,,,,,,,-90.195099,40.492599,Local government building grounds,N,N,N,N,N,-,N,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,5/14/2014 22:57
1010079,City of Evans Farmers Market,http://www.evanscolorado.gov,https://www.facebook.com/cityofevans,,,,,Evans ,Weld,Colorado,,,,,,,,,,-104.69218,40.376369,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/2/2014 9:31
1012088,City of Everett Farmers Market ,http://Www.cityofeverett.com,,,,,Glendale Park Elm street,Everett,Essex,Massachusetts,2149,06/15/2016 to 10/19/2016,Wed: 12:00 PM-6:00 PM;,,,,,,,-71.04483,42.412739,,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/2016 19:50
1000921,City of Galax Farmers Market,,,,,,221 Main Street,Galax,,Virginia,24333,,,,,,,,,-80.924103,36.6604,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1009000,City of Galax Farmers Market,http://www.galaxfarmersmarket.com,https://www.facebook.com/pages/Galax-Farmers-Market/436987119716502,,,,Main Street and Washington Street,Galax ,Galax,Virginia,24333,05/17/2013 to 10/04/2013,Fri: 8:00 AM-1:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-80.925095,36.663425,Local government building grounds,N,N,N,N,N,-,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,8/20/2013 16:33
1005719,City of Grand Blanc Farmers Market,http://www.cityofgrandblanc.com/NewsEvents/FarmersMarket/tabid/5439/Default.aspx,https://www.facebook.com/grandblanc.farmersmarket,https://twitter.com/GBFarmersMarket,,,Grand Boulevard,GRAND BLANC,Genesee,Michigan,48439,05/18/2014 to 10/26/2014,Wed: 4:00 PM-7:00 PM;Sun: 10:00 AM-3:00 PM;,,,,,,,-83.632164,42.927338,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,3/31/2014 16:22
1001680,City of Grayling Farm Market,http://www.cityofgrayling.org,,,,,Michigan Ave. Downtown Grayling,Grayling,Crawford,Michigan,49738,June to October,Sat:9:00 AM - 1:00 PM;,,,,,,,-84.709267,44.665783,Local government building grounds,N,Y,N,Y,N,-,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/1/2012 8:12
1001681,City of Grayling Farm Market,http://www.cityofgrayling.org,,,,,City Park 213 N. James Street,Grayling,Crawford,Michigan,49738,May to September,Thu:2:00 PM - 6:00 PM;,,,,,,,-84.715874,44.66235,Local government building grounds,N,Y,N,Y,N,-,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/1/2012 8:12
1001234,City of Gulfport Farmers Market,,,,,,2625 Jones Park Drive,Gulfport,Harrison,Mississippi,39501,,,,,,,,,-89.088203,30.365601,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1008416,City of Holyoke Farmers' Market,,https://www.facebook.com/HolyokeFarmersMarket,https://twitter.com/holyokemarket,,Instagram @holyokemarket,High St and Dwight St,Holyoke,Hampden,Massachusetts,1040,05/02/2013 to 10/31/2013,Thu: 11:00 AM-3:00 PM;,,,,,,,-72.60804,42.206619,Closed-off public street,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/25/2013 10:57
1005491,City of Lake Forest Farmers Market,http://www.cityoflakeforest.com,,,,,691 N. Western,Lake Forest,Lake,Illinois,60045,,Sat: 8:00 AM-1:00 PM;,,,,,,,-87.839432,42.252342,Private business parking lot,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/18/2013 8:30
1004255,City of Loveland Farmers Market,http://www.cityofloveland.org/farmersmarket,https://www.facebook.com/cityoflovelandfarmersmarket,https://twitter.com/NoCOFarmersMrkt,,,700 S. Railroad,Loveland,Larimer,Colorado,80537,06/25/2017 to 09/24/2017,Sun: 9:00 AM-1:30 PM;,,,,,,,-105.07849,40.387535,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,6/21/2017 16:22
1008434,City of Manassas Farmer's Market- Saturday ,http://media.visitmanassas.org/farmersmarket,https://www.facebook.com/manassas,https://twitter.com/visitmanassas,,,West St. and Prince William St.,Manassas ,Manassas,Virginia,20110,04/13/2013 to 11/09/2013,Sat: 7:30 AM-1:00 PM;,11/16/2013 to 12/31/2013,Sat: 10:00 AM-1:00 PM;,,,,,-77.473076,38.749489,Other,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/25/2013 12:37
1008428,City of Manassas Farmer's Market- Thursday,http://media.visitmanassas.org/farmersmarket,https://www.facebook.com/manassas,https://twitter.com/visitmanassas,,,9201 Center Street ,Manassas,Manassas,Virginia,20110,04/11/2013 to 11/07/2013,Thu: 7:30 AM-1:00 PM;,,,,,,,-77.473763,38.750538,Other,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,6/25/2013 12:38
1002814,City of Mebane Parks & Recreation Farmers Markeet,,,,,,Clay Street,Mebane,Alamance,North Carolina,27302,,,,,,,,,-79.271698,36.098202,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1009719,CIty of Momence ,http://www.cityofmomence.com,https://www.facebook.com/pages/Momence-Farmers-Market/142817159068999,,,,123 W. River St. ,Momence,Kankakee,Illinois,60954,07/16/2014 to 10/15/2014,Wed: 3:30 PM-;,,,,,,,-87.662987,41.162025,Local government building grounds,N,N,N,N,N,-,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,N,6/10/2014 16:54
1017956,City of North Adams Farmers' Market,http://explorenorthadams.com/item/north-adams-farmers-market/,https://www.facebook.com/NorthAdamsFarmersMarket/,,,https://www.instagram.com/northadamsfarmersmarket/,"St. Anthony Municipal Parking Lot, at the intersection of Rte. 8 (Marshall St.) and St. Anthony Drive",North Adams ,Berkshire,Massachusetts,1247,06/09/2018 to 10/20/2018,Sat: 9:00 AM-1:00 PM;,11/03/2018 to 05/03/2019,Sat: 9:00 AM-1:00 PM;,,,,,-73.112793,42.700695,,Y,N,Y,Y,Y,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,7/26/2018 15:50
1004618,City of Otsego Farmers Market,http://www.otsegochamber.org,,,,,112 Kalamazoo Street/M-89,Otsego,Allegan,Michigan,49078,,,,,,,,,-85.698799,42.460602,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 26 2010  2:49PM
1010007,"City of Papillion, Farmers Market",http://www.papillionfarmersmarket.com,https://www.facebook.com/papillionfarmersmarket,,,,,Papillion ,Sarpy,Nebraska,68046,06/18/2014 to 09/17/2014,Wed: 5:00 PM-8:00 PM;,,,,,,,-96.043953,41.154774,Local government building grounds,N,N,N,N,N,-,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,4/22/2014 16:24
1000303,City of Plymouth Farmers Market,http://www.plymouthmn.gov,,,,,3650 Plymouth Blvd,Plymouth,Hennepin,Minnesota,55447,06/19/2013 to 10/02/2013,Wed: 2:30 PM-6:30 PM;,,,,,,,-93.477257,45.023296,Local government building grounds,Y,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/24/2013 16:10
1018182,City of Rochester Public Market ,http://www.cityofrochester.gov/publicmarket,www.facebook.com/cityofrochesterpublicmarket,,,www.instagram.com/cityofrochesterpublicmarket,280 North Union Street,Rochester,Monroe,New York,14609,01/01/2017 to 12/31/2017,Tue: 6:00 AM-1:00 PM;Thu: 6:00 AM-1:00 PM;Sat: 5:00 AM-3:00 PM;,,,,,,,-77.589745,43.1656,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,6/20/2017 14:35
1018272,City of Sherrill Farmers Market,http://www.sherrillny.org/recreation/farmers-market/,https://www.facebook.com/CityOfSherrill/,https://twitter.com/Sherrill_NY,,,377 Sherrill Road,Sherrill,Oneida,New York,13461,05/16/2017 to 10/03/2017,Tue: 3:00 PM-7:00 PM;,,,,,,,-75.599091,43.072392,,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,6/21/2017 8:30
1010429,City of Union Farmers' Market,http://www.unionmissouri.org/farmersmarket,www.facebook.com/CityofUnionFarmersMarket,,,,801 US Highway 50,Union,Franklin,Missouri,63084,04/01/2014 to 10/31/2014,Sat: 6:00 AM-11:00 AM;,,,,,,,-91.000519,38.444664,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,N,N,N,N,-,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,8/5/2014 15:31
1003687,City of Utica's Farmers Market,,,,,, 900 Bleecker St,Utica,Oneida,New York,13501,,,,,,,,,-75.211197,43.096298,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun  3 2010  3:21PM
1004160,City of Walled Lake Farmers Market,,,,,,1499 E. West Maple,Walled Lake,Oakland,Michigan,48390,May to October,Wed:7:00 AM - 1:00 PM;,,,,,,,-83.466164,42.53957,Local government building grounds,N,N,N,N,N,-,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,5/7/2012 11:15
1018290,City of warren,http://warrenfarmersmarket@cityofwarren.org,warren parks and rec,warren parks and rec,,,1 city square,Warren,Macomb,Michigan,48093,05/21/2017 to 10/29/2017,Sun: 9:00 AM-2:00 PM;,,,,,,,-83.024315,42.512234,,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,6/21/2017 10:25
1008491,City of Warrenton Farmers' Market,http://www.warrenton-mo.org/,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1122,200 West Booneclick,Warrenton,Warren,Missouri,63383,,,,,,,,,-91.150146,38.811134,Local government building grounds,Y,N,N,N,N,-,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,6/25/2013 17:15
1005502,City of Wayne Farmers' Market,http://www.waynefarmersmarket.net,,,,,35310 Michigan Avenue,Wayne,Wayne,Michigan,48184,,,,,,,,,-83.388268,42.282658,Local government building grounds,Y,Y,N,Y,Y,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/19/2012 19:48
1000157,City of West Burlington Open Air Market,,,,,,"City Hall parking lot, 122 Broadway Street",West Burlington,Des Moines,Iowa,52655,,,,,,,,,-91.156601,40.825298,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1006460,City of White Bear Lake Farmer's Market,http://www.whitebearlake.org,,,,,"Washington Avenue, between 3rd and 4th Street",White Bear Lake,Ramsey,Minnesota,55110,06/27/2014 to 10/31/2014,Fri: 8:00 AM-12:00 PM;,,,,,,,-93.009033,45.085217,,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,6/27/2016 13:48
1008493,City of Windsor Farmers' Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=2016,,,,,305 West Benton,Windsor,Henry,Missouri,65360,,,,,,,,,-93.523697,38.533749,Private business parking lot,Y,N,N,N,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,6/25/2013 17:29
1007679,City of Zachary Farmers Market,http://www.cityofzachary.org,,,,,1650 Mt. Pleasant,Zachary,East Baton Rouge,Louisiana,70791,,,,,,,,,-91.215897,30.6507,,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
1006368,City of Zion's Farmers Market,http://www.cityofzion.com/farmersmarket,https://www.facebook.com/pages/City-of-Zion-Farmers-Market/112314668796329?ref=br_tf,https://twitter.com/ZionFarmersMarket,,,Shiloh Blvd and Sheridan Rd,Zion,Lake,Illinois,60099,06/19/2014 to 09/25/2014,Thu: 11:00 AM-7:00 PM;,,,,,,,-87.82515,42.449963,Local government building grounds,Y,Y,N,N,N,-,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,4/2/2014 9:20
1011057,City Park Esplanade Fresh Market,http://coloradofreshmarkets.com,Colorado Fresh Markets,ColoradoFreshMarkets@COfreshmarkets,,,,Denver ,Denver,Colorado,,06/07/2015 to 11/01/2015,Sun: 9:00 AM-1:00 PM;,,,,,,,-104.95686,39.740871,,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,4/22/2015 19:35
1012758,City Soul Market ,,,,,,700 State St.,Springfield,Hampden,Massachusetts,1109,,Sat: 10:00 AM-2:00 PM;,,,,,,,-72.569069,42.110615,,Y,N,N,N,Y,-,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,8/3/2016 6:59
1005940,CitySeed Edgewood Park Farmers Market,http://www.cityseed.org/edgewood-park,https://www.facebook.com/cityseed/,@CitySeedNH,,instagram: @cityseedhaven ,corner of Whalley Ave. and West Rock Ave.,New Haven,New Haven,Connecticut,6515,05/06/2018 to 12/16/2018,Sun: 10:00 AM-1:00 PM;,,,,,,,-72.958565,41.325348,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,8/2/2018 12:10
1005941,CitySeed Fair Haven Farmers Market,http://cityseed.org/fair-haven/,https://www.facebook.com/cityseed,@CitySeedNH,,instagram: @cityseedhaven ,Corner of Front St. and Grand Ave. ,New Haven,New Haven,Connecticut,6513,07/05/2018 to 10/25/2018,Thu: 3:00 PM-6:00 PM;,,,,,,,-72.888847,41.308956,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,8/2/2018 12:16
1019206,CitySeed Winter Market,http://cityseed.org/indoor-winter-market/,https://www.facebook.com/cityseed,CitySeedNH,,Instagram: cityseedhaven,115 Water St,New Haven,New Haven,Connecticut,6511,01/01/2018 to 04/01/2018,Sat: 10:00 AM-1:00 PM;,,,,,,,-72.918831,41.301182,,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,8/2/2018 12:35
1005943,CitySeed Wooster Square Farmers Market,http://cityseed.org/wooster-square/,https://www.facebook.com/cityseed/,@CitySeedNH,,instagram: @cityseedhaven ,DePalma Ct. between Chapel St. and Wooster St.,New Haven,New Haven,Connecticut,6511,04/07/2018 to 12/15/2018,Sat: 9:00 AM-1:00 PM;,,,,,,,-72.917847,41.30323,,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,8/2/2018 12:22
